activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,76866,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CO,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL327097,,CHEMBL327097,,False,http://www.openphacts.org/units/Nanomolar,206082,=,1,True,=,,IC50,nM,,4000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,4.0
,76868,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CO,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL327097,,CHEMBL327097,,False,http://www.openphacts.org/units/Nanomolar,206082,>,1,True,>,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,77906,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1c(O)cc(C(=O)O)cc1[N+](=O)[O-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL324455,,CHEMBL324455,,False,http://www.openphacts.org/units/Nanomolar,206085,=,1,True,=,,IC50,nM,,750000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,0.75
,77908,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1c(O)cc(C(=O)O)cc1[N+](=O)[O-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL324455,,CHEMBL324455,,False,http://www.openphacts.org/units/Nanomolar,206085,=,1,True,=,,IC50,nM,,1000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,1.0
,79067,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1c(OC(C)=O)cc(C(=O)O)cc1[N+](=O)[O-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL321393,,CHEMBL321393,,False,http://www.openphacts.org/units/Nanomolar,206092,=,1,True,=,,IC50,nM,,5000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,5.0
,79069,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1c(OC(C)=O)cc(C(=O)O)cc1[N+](=O)[O-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL321393,,CHEMBL321393,,False,http://www.openphacts.org/units/Nanomolar,206092,=,1,True,=,,IC50,nM,,3000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,3.0
,85582,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1N,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL109162,,CHEMBL109162,,False,http://www.openphacts.org/units/Nanomolar,206090,>,1,True,>,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,85584,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1N,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL109162,,CHEMBL109162,,False,http://www.openphacts.org/units/Nanomolar,206090,>,1,True,>,,IC50,nM,,10000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,10.0
,86454,[],CHEMBL808323,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by MUN assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1[N+](=O)[O-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL111082,,CHEMBL111082,,False,http://www.openphacts.org/units/Nanomolar,206094,=,1,True,=,,IC50,nM,,5000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,5.0
,86456,[],CHEMBL808324,The compound was tested in vitro for the inhibitory concentration against influenza N2 sialidase from whole virus by fetuin assay,F,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Nc1ccc(C(=O)O)cc1[N+](=O)[O-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1128587,J. Med. Chem.,1995,,CHEMBL111082,,CHEMBL111082,,False,http://www.openphacts.org/units/Nanomolar,206094,=,1,True,=,,IC50,nM,,5000000.0,CHEMBL613740,Influenza A virus,Influenza A virus,11320,,,IC50,mM,UO_0000065,,5.0
