molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL327097,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CO,4000000.0,inactive
CHEMBL327097,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CO,10000000.0,inactive
CHEMBL324455,CC(=O)Nc1c(O)cc(C(=O)O)cc1[N+](=O)[O-],750000.0,inactive
CHEMBL324455,CC(=O)Nc1c(O)cc(C(=O)O)cc1[N+](=O)[O-],1000000.0,inactive
CHEMBL321393,CC(=O)Nc1c(OC(C)=O)cc(C(=O)O)cc1[N+](=O)[O-],5000000.0,inactive
CHEMBL321393,CC(=O)Nc1c(OC(C)=O)cc(C(=O)O)cc1[N+](=O)[O-],3000000.0,inactive
CHEMBL109162,CC(=O)Nc1ccc(C(=O)O)cc1N,10000000.0,inactive
CHEMBL109162,CC(=O)Nc1ccc(C(=O)O)cc1N,10000000.0,inactive
CHEMBL111082,CC(=O)Nc1ccc(C(=O)O)cc1[N+](=O)[O-],5000000.0,inactive
CHEMBL111082,CC(=O)Nc1ccc(C(=O)O)cc1[N+](=O)[O-],5000000.0,inactive
CHEMBL55440,CC(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,10000.0,inactive
CHEMBL55440,CC(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,10000.0,inactive
CHEMBL111756,CC(=O)Nc1cc([N+](=O)[O-])c(C(=O)O)c([N+](=O)[O-])c1O,1000000.0,inactive
CHEMBL111756,CC(=O)Nc1cc([N+](=O)[O-])c(C(=O)O)c([N+](=O)[O-])c1O,3000000.0,inactive
CHEMBL420491,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)C(O)CO,5000000.0,inactive
CHEMBL420491,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)C(O)CO,4000000.0,inactive
CHEMBL109781,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CCCN,10000000.0,inactive
CHEMBL109781,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CCCN,10000000.0,inactive
CHEMBL109005,CC(=O)Nc1c(N)cc(C(=O)O)cc1O,10000000.0,inactive
CHEMBL109005,CC(=O)Nc1c(N)cc(C(=O)O)cc1O,10000000.0,inactive
CHEMBL109939,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CN,5000000.0,inactive
CHEMBL109939,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CN,5000000.0,inactive
CHEMBL109004,CC(=O)Nc1ccc(C(=O)O)cc1OC(C)=O,10000000.0,inactive
CHEMBL109004,CC(=O)Nc1ccc(C(=O)O)cc1OC(C)=O,10000000.0,inactive
CHEMBL1145,CC(=O)Nc1ccc(C(=O)O)cc1O,10000000.0,inactive
CHEMBL1145,CC(=O)Nc1ccc(C(=O)O)cc1O,10000000.0,inactive
CHEMBL96712,CC(=O)N[C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,15000.0,inactive
CHEMBL96712,CC(=O)N[C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,15000.0,inactive
CHEMBL300932,CCCCCCC/C=C\C[C@H]1CCC[C@@H]2CCCN12,3.72,active
CHEMBL54150,CCCCCCC/C=C\C[C@@H]1CCC[C@@H]2CCCN12,4.2,active
CHEMBL50902,CCCCCCC/C=C/C[C@H]1CCC[C@@H]2CCCN12,4.84,active
CHEMBL53632,CCCCCCC/C=C/C[C@@H]1CCC[C@@H]2CCCN12,1.45,active
CHEMBL410671,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.062,active
CHEMBL410671,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.0021,active
CHEMBL60586,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.364,active
CHEMBL60586,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.00017,active
CHEMBL222813,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,0.011,active
CHEMBL222813,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,0.0013,active
CHEMBL266691,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.161,active
CHEMBL266691,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.000072,active
CHEMBL386285,CCCCCNC(=O)CC[C@H](N)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O,0.113,active
CHEMBL386285,CCCCCNC(=O)CC[C@H](N)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O,0.00032,active
CHEMBL411217,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@@H](N)CCC(=O)NCc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.063,active
CHEMBL411217,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCCCCNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@@H](N)CCC(=O)NCc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.000028,active
CHEMBL411966,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@@H](N)CCC(=O)NCc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.324,active
CHEMBL411966,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@H](CCC(=O)NCc1ccccc1)NC(=O)[C@@H](N)CCC(=O)NCc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.00015,active
CHEMBL292162,CC(=O)NCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O,0.022,active
CHEMBL292162,CC(=O)NCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O,0.0055,active
CHEMBL418091,CC(=O)NCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O,0.09,active
CHEMBL418091,CC(=O)NCCCCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O,0.0059,active
CHEMBL411967,CCCCCNC(=O)CC[C@H](N)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O,0.585,active
CHEMBL411967,CCCCCNC(=O)CC[C@H](N)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCCCC)C(=O)N[C@@H](CCC(=O)NCCO[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O,0.0001,active
CHEMBL437454,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.114,active
CHEMBL437454,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OCCNC(=O)CCC(N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)CN[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@H](O)CO,0.000066,active
CHEMBL345674,CCC(CC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,2.0,active
CHEMBL436422,CCC(CC)C(O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,39.0,active
CHEMBL2107375,Cl.N=C(N)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,48.0,active
CHEMBL674,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,2.0,active
CHEMBL3143953,C/N=C(/N)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1.Cl,63.0,active
CHEMBL156342,CCC(CC)O[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,770.0,active
CHEMBL317645,CCN(CC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,3.0,active
CHEMBL222813,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,5.0,active
CHEMBL222813,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,0.005,active
CHEMBL50254,CCCN(C)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,0.32,active
CHEMBL52270,CC(=O)N[C@@H]1[C@@H](N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,0.47,active
CHEMBL51451,CCCNC(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,1.4,active
CHEMBL433269,CCCN(CCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,0.0001,active
CHEMBL54149,CCCNC(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,0.28,active
CHEMBL295490,CCCN(CCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,0.002,active
CHEMBL300461,CCCN(C)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,0.011,active
CHEMBL3143557,OC[C@H]1O[C@@H](n2cnc3c(NC4CC4)ncnc32)[C@H](F)[C@@H]1O,100000.0,inactive
CHEMBL3143550,Nc1nc(NC2CC2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3F)c2n1,72000.0,inactive
CHEMBL73669,CCCN(CCc1ccccc1)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,0.03,active
CHEMBL346767,CCCN(CCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(=O)CC,0.0002,active
CHEMBL3143556,Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3F)c2n1,100000.0,inactive
CHEMBL3143549,Nc1nc(O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3F)c2n1,19000.0,inactive
CHEMBL350298,CCCN(CCC)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(=O)C(F)(F)F,0.00001,active
CHEMBL3143526,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1F,100000.0,inactive
CHEMBL3143513,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1F,16000.0,inactive
CHEMBL162413,CCCN(CCc1ccccc1)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](O)[C@H]1NC(C)=O,0.005,active
CHEMBL73669,CCCN(CCc1ccccc1)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(C)=O,0.03,active
CHEMBL348066,CCCN(CCc1ccccc1)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](N)[C@H]1NC(=O)C(F)(F)F,0.004,active
CHEMBL3143558,COc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1F,100000.0,inactive
